# t Fx Fy Fz
0.126 2.89559737398154e-08 2.89617264948807e-08 1.12403975146195e-05
0.127 2.89085898665412e-08 2.89143396541495e-08 1.12384219411467e-05
0.128 2.88606735842326e-08 2.88664204659177e-08 1.12364802005036e-05
0.129 2.88122747190989e-08 2.88180187546036e-08 1.12345716527518e-05
0.13 2.87634403763284e-08 2.87691816237293e-08 1.12326956707587e-05
0.131 2.87142150811275e-08 2.87199535969361e-08 1.12308516399232e-05
0.132 2.86646409128428e-08 2.8670376752105e-08 1.12290389579113e-05
0.133 2.8614810009959e-08 2.86205426231203e-08 1.12272572471047e-05
0.134 2.8564989235273e-08 2.8570717264902e-08 1.12255069568828e-05
0.135 2.85151934920564e-08 2.85209171204234e-08 1.12237875047827e-05
0.136 2.84654273436875e-08 2.84711466610926e-08 1.1222098248431e-05
0.137 2.84156949899806e-08 2.84214100896921e-08 1.12204385588877e-05
0.138 2.83660015616368e-08 2.83717125354508e-08 1.12188078242369e-05
0.139 2.83163524090732e-08 2.83220593474341e-08 1.1217205447601e-05
0.14 2.82667530538824e-08 2.82724560459047e-08 1.12156308466619e-05
0.141 2.82172091578662e-08 2.8222908291317e-08 1.12140834532506e-05
0.142 2.81677264970614e-08 2.81734218583788e-08 1.1212562712951e-05
0.143 2.81183109382179e-08 2.81240026124998e-08 1.1211068084717e-05
0.144 2.80689684171473e-08 2.80746564881446e-08 1.12095990405007e-05
0.145 2.80197049187405e-08 2.80253894688527e-08 1.12081550648933e-05
0.146 2.7970526458529e-08 2.79762075688108e-08 1.12067356547755e-05
0.147 2.79214390657103e-08 2.79271168158785e-08 1.12053403189801e-05
0.148 2.78724487675042e-08 2.78781232359244e-08 1.12039685779637e-05
0.149 2.78235615748103e-08 2.7829232838516e-08 1.12026199634892e-05
0.15 2.77747834690133e-08 2.77804516037057e-08 1.12012940183177e-05
0.151 2.77261203899748e-08 2.77317854700328e-08 1.119999029591e-05
0.152 2.76775782250011e-08 2.76832403234811e-08 1.11987083601366e-05
0.153 2.76291627988671e-08 2.76348219875166e-08 1.11974477849968e-05
0.154 2.75808798646834e-08 2.75865362139536e-08 1.11962081543465e-05
0.155 2.75327350957029e-08 2.75383886747398e-08 1.11949890616338e-05
0.156 2.74847340778593e-08 2.74903849545399e-08 1.11937901096428e-05
0.157 2.7436882303123e-08 2.7442530544049e-08 1.11926109102446e-05
0.158 2.73891851635079e-08 2.7394830834028e-08 1.11914510841564e-05
0.159 2.73416479457948e-08 2.73472911100024e-08 1.11903102607073e-05
0.16 2.72942758267935e-08 2.72999165475558e-08 1.11891880776112e-05
0.161 2.7247073869254e-08 2.7252712208213e-08 1.11880841807461e-05
0.162 2.7200047018246e-08 2.72056830358391e-08 1.11869982239408e-05
0.163 2.71532002878577e-08 2.71588340434101e-08 1.11859298692975e-05
0.164 2.71065380195172e-08 2.71121695712892e-08 1.11848787849243e-05
0.165 2.70600644805467e-08 2.70656938993566e-08 1.11838446502511e-05
0.166 2.70137861124757e-08 2.70194134157796e-08 1.11828271447736e-05
0.167 2.69677036239944e-08 2.69733289152569e-08 1.11818259589353e-05
0.168 2.69218253786391e-08 2.69274486625329e-08 1.11808407933219e-05
0.169 2.68761522839939e-08 2.68817736391429e-08 1.1179871350147e-05
0.17 2.68306893645036e-08 2.68363088399399e-08 1.1178917339831e-05
0.171 2.67854403512049e-08 2.67910579977969e-08 1.11779784794384e-05
0.172 2.67404088998705e-08 2.6746024766746e-08 1.11770544918428e-05
0.173 2.66955985476257e-08 2.67012126829059e-08 1.11761451058728e-05
0.174 2.66510126998482e-08 2.66566251506257e-08 1.11752500561806e-05
0.175 2.66066546320365e-08 2.66122654443919e-08 1.11743690830946e-05
0.176 2.65625274904836e-08 2.65681367095127e-08 1.11735019324771e-05
0.177 2.65186342933035e-08 2.65242419631141e-08 1.11726483555863e-05
0.178 2.64749779315972e-08 2.64805840953425e-08 1.11718081089429e-05
0.179 2.64315605967549e-08 2.64371653038958e-08 1.11709809498144e-05
